2025-12-23 21:21:40,896 - [INFO] - ------ ------ task type is regression ------ ------
2025-12-23 21:21:45,422 - [INFO] - ------------------------------------------------------------
2025-12-23 21:21:45,422 - [INFO] - On Validation Set (Regression):
	MSE of RRL  Model: 490.96722412109375
	MAE of RRL  Model: 21.393795013427734
	R2  of RRL  Model: -13.714553833007812
2025-12-23 21:21:45,422 - [INFO] - ------------------------------------------------------------
2025-12-23 21:21:47,881 - [INFO] - epoch: 54, loss_rrl: 363.58654594421387
2025-12-23 21:21:47,908 - [INFO] - epoch: 55, loss_rrl: 354.34840202331543
2025-12-23 21:21:47,933 - [INFO] - epoch: 56, loss_rrl: 342.01076793670654
2025-12-23 21:21:47,998 - [INFO] - epoch: 57, loss_rrl: 334.56428623199463
2025-12-23 21:21:48,074 - [INFO] - epoch: 58, loss_rrl: 327.84185886383057
2025-12-23 21:21:48,153 - [INFO] - epoch: 59, loss_rrl: 320.72647190093994
2025-12-23 21:21:48,221 - [INFO] - epoch: 60, loss_rrl: 313.13956928253174
2025-12-23 21:21:48,297 - [INFO] - epoch: 61, loss_rrl: 306.82594203948975
2025-12-23 21:21:48,376 - [INFO] - epoch: 62, loss_rrl: 300.30943393707275
2025-12-23 21:21:48,435 - [INFO] - epoch: 63, loss_rrl: 295.13800382614136
2025-12-23 21:21:48,514 - [INFO] - epoch: 64, loss_rrl: 288.9407711029053
2025-12-23 21:21:48,586 - [INFO] - epoch: 65, loss_rrl: 283.10019540786743
2025-12-23 21:21:48,657 - [INFO] - epoch: 66, loss_rrl: 277.76172828674316
2025-12-23 21:21:48,731 - [INFO] - epoch: 67, loss_rrl: 272.9446511268616
2025-12-23 21:21:48,807 - [INFO] - epoch: 68, loss_rrl: 268.80580854415894
2025-12-23 21:21:48,886 - [INFO] - epoch: 69, loss_rrl: 264.42437982559204
2025-12-23 21:21:48,945 - [INFO] - epoch: 70, loss_rrl: 260.47087717056274
2025-12-23 21:21:49,022 - [INFO] - epoch: 71, loss_rrl: 257.0428466796875
2025-12-23 21:21:49,100 - [INFO] - epoch: 72, loss_rrl: 252.95126056671143
2025-12-23 21:21:49,147 - [INFO] - epoch: 73, loss_rrl: 248.8774356842041
2025-12-23 21:21:49,168 - [INFO] - epoch: 74, loss_rrl: 245.4782838821411
2025-12-23 21:21:49,190 - [INFO] - epoch: 75, loss_rrl: 242.40362644195557
2025-12-23 21:21:49,212 - [INFO] - epoch: 76, loss_rrl: 239.65219402313232
2025-12-23 21:21:49,234 - [INFO] - epoch: 77, loss_rrl: 236.34701681137085
2025-12-23 21:21:49,257 - [INFO] - epoch: 78, loss_rrl: 234.2240285873413
2025-12-23 21:21:49,278 - [INFO] - epoch: 79, loss_rrl: 231.6191897392273
2025-12-23 21:21:49,301 - [INFO] - epoch: 80, loss_rrl: 229.74324464797974
2025-12-23 21:21:49,323 - [INFO] - epoch: 81, loss_rrl: 227.22806930541992
2025-12-23 21:21:49,346 - [INFO] - epoch: 82, loss_rrl: 225.2585892677307
2025-12-23 21:21:49,370 - [INFO] - epoch: 83, loss_rrl: 223.09323716163635
2025-12-23 21:21:49,394 - [INFO] - epoch: 84, loss_rrl: 221.15266752243042
2025-12-23 21:21:49,419 - [INFO] - epoch: 85, loss_rrl: 219.21996879577637
2025-12-23 21:21:49,445 - [INFO] - epoch: 86, loss_rrl: 217.62465572357178
2025-12-23 21:21:49,509 - [INFO] - epoch: 87, loss_rrl: 216.15408945083618
2025-12-23 21:21:49,585 - [INFO] - epoch: 88, loss_rrl: 214.5857355594635
2025-12-23 21:21:49,664 - [INFO] - epoch: 89, loss_rrl: 213.73223495483398
2025-12-23 21:21:49,722 - [INFO] - epoch: 90, loss_rrl: 212.33608627319336
2025-12-23 21:21:49,799 - [INFO] - epoch: 91, loss_rrl: 211.8424153327942
2025-12-23 21:21:49,874 - [INFO] - epoch: 92, loss_rrl: 210.9067554473877
2025-12-23 21:21:49,943 - [INFO] - epoch: 93, loss_rrl: 210.21217679977417
2025-12-23 21:21:50,021 - [INFO] - epoch: 94, loss_rrl: 209.4320936203003
2025-12-23 21:21:50,098 - [INFO] - epoch: 95, loss_rrl: 208.66873455047607
